10
AEBCDBEACD 4
Jean AEBCBBAACD
Bobby AAECDBEADD
Warren AEBCDBEADD
Rogue AEBCCBEACD
AABBDDCCEEBDCADEA 3
Jean AABBDECCEEBCCCDEA
Warren AABBDDBBBEBDCADEA
Bobby AABCDECCEEBDCADAA
ABCDE 3
Jean ABCDE
Rogue ABBDE
Bobby ACBDE
ABCDE 3
John1 AAAAA
John2 ABCDE
John3 BAAAA
ABCD 3
John1 BAAA
John2 AAAA
John3 ABCD
ABC 3
John1 ABC
John2 BAA
John3 AAA
AAAAAAAAAA 7
Jean AAAAABAAAB
Warren AAAAAAAAAA
Rogue BBAAABAAAA
Bobby AAAAAAAAAA
John1 BBBBBBBBBB
John2 CCCCCCCCCC
John3 DDDDDDDDDD
AAAAAAAAAA 7
Jean AAAAABAAAB
Warren AAAAAAAAAA
Rogue BBAAABAAAA
Bobby AAAAAAAAAA
John1 BBBBBBBBBB
John2 CCCCCCCCCC
John3 DDDDDDDDDD
ABD 2
Warren ADC
Jean ABD
EEE 1
John2 EEE
